,oPurchase_Amount,oAverage_Spending_Per_Purchase,oPurchase_Frequency_Per_Month,oBrand_Affinity_Score,Age,Purchase_Amount,Average_Spending_Per_Purchase,Purchase_Frequency_Per_Month,Brand_Affinity_Score,Product_Category_Books,Product_Category_Clothing,Product_Category_Electronics,Gender_Female,Gender_Male,Gender_Other,Income_Level_High,Income_Level_Low,Income_Level_Medium,Product_Category_Preferences_High,Product_Category_Preferences_Low,Product_Category_Preferences_Medium
0,193.0,59.0,2.0,2.0,0.3548387096774194,0.3734693877551021,0.5684210526315789,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,318.0,77.0,2.0,1.0,0.11290322580645162,0.6285714285714286,0.7578947368421052,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,197.0,100.0,9.0,1.0,0.6290322580645161,0.3816326530612245,1.0,0.8888888888888888,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,262.0,97.0,3.0,4.0,0.32258064516129037,0.5142857142857143,0.9684210526315791,0.2222222222222222,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,429.0,85.0,7.0,2.0,0.8064516129032258,0.8551020408163266,0.8421052631578947,0.6666666666666665,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
5,57.0,21.0,2.0,6.0,0.12903225806451613,0.09591836734693879,0.16842105263157894,0.1111111111111111,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
6,441.0,41.0,6.0,9.0,0.12903225806451613,0.879591836734694,0.37894736842105264,0.5555555555555556,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,390.0,42.0,9.0,2.0,0.08064516129032262,0.7755102040816327,0.3894736842105263,0.8888888888888888,0.1111111111111111,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,84.0,61.0,2.0,7.0,1.0,0.1510204081632653,0.5894736842105264,0.1111111111111111,0.6666666666666665,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,248.0,87.0,3.0,3.0,0.4032258064516129,0.48571428571428577,0.8631578947368421,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
